Ob2016s005	Ob2016s007	Ob2016s090	Ob2016s026	Ob2016s027	Ob2016s009	Ob2016s057	Ob2016s014	Ob2016s004	Ob2016s024	Ob2016s016	Ob2016s018	Ob2016s003	Ob2016s010	Ob2016s020	Ob2016s035	Ob2016s011	Ob2016s006	Ob2016s013	Ob2016s068	Ob2016s023	Ob2016s079	Ob2016s001	Ob2016s008	Ob2016s019	Ob2016s017	Ob2016s002	Ob2016s012	Ob2016s046	Ob2016s022
0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	5	0	3	0	5	0	11
0	4	0	0	0	67	0	0	0	10	0	0	0	44	2	0	13	0	0	0	5	0	0	114	0	4	0	0	4	14
0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0
0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	5	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0
0	4	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6	0	0	0	0	0	2	0	10	0	1	0	12	0	6	0	0	0	0	0	0	0	5	0	0	0	0	1
0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
